matrix_index,block_group
370270314023,370270314023
370270314031,370270314031
370270314032,370270314032
370299501011,370299501011
370299501012,370299501012
370299501020,370299501020
370299501021,370299501021
370299501022,370299501022
370299501023,370299501023
370319701011,370319701011
370319701021,370319701021
370319701022,370319701022
370319701023,370319701023
370319701031,370319701031
370319701032,370319701032
370319701033,370319701033
370319702001,370319702001
370319702002,370319702002
370319703011,370319703011
370319703012,370319703012
370319703013,370319703013
370319703041,370319703041
370319703042,370319703042
370319703051,370319703051
370319703052,370319703052
370319704011,370319704011
370319704021,370319704021
370319704031,370319704031
370319704032,370319704032
370319705011,370319705011
370319705012,370319705012
370319705021,370319705021
370319705022,370319705022
370319705031,370319705031
370319705032,370319705032
370319705041,370319705041
370319705042,370319705042
370319706011,370319706011
370319706021,370319706021
370319706031,370319706031
370319706061,370319706061
370319706062,370319706062
370319706063,370319706063
370319707011,370319707011
370319707021,370319707021
370319707022,370319707022
370319707031,370319707031
370319707032,370319707032
370319707033,370319707033
370319707034,370319707034
370319707041,370319707041
370319707042,370319707042
370319708011,370319708011
370319708012,370319708012
370319708013,370319708013
370319708041,370319708041
370319708042,370319708042
370319708043,370319708043
370319708051,370319708051
370319708061,370319708061
370319708062,370319708062
370319708063,370319708063
370319709031,370319709031
370319709041,370319709041
370319709042,370319709042
370319710031,370319710031
370319710032,370319710032
370319711031,370319711031
370319711032,370319711032
370319801001,370319801001
370319901000,370319901000
370319902000,370319902000
370339301001,370339301001
370339301002,370339301002
370339302001,370339302001
370339302002,370339302002
370339302003,370339302003
370339302004,370339302004
370339303001,370339303001
370339303002,370339303002
370339303003,370339303003
370339304001,370339304001
370339304002,370339304002
370339305001,370339305001
370339305002,370339305002
370339305003,370339305003
370339306001,370339306001
370339306002,370339306002
370339306003,370339306003
370339306004,370339306004
370350101011,370350101011
370350101012,370350101012
370350101013,370350101013
370350101014,370350101014
370350101021,370350101021
370350101022,370350101022
370350101023,370350101023
370350102011,370350102011
370350102012,370350102012
370350102013,370350102013
370350102031,370350102031
370350102032,370350102032
370350102041,370350102041
370350102042,370350102042
370350102043,370350102043
370350103011,370350103011
370350103012,370350103012
370350103013,370350103013
370350103021,370350103021
370350103022,370350103022
370350103023,370350103023
370350103024,370350103024
370350103031,370350103031
370350103032,370350103032
370350103041,370350103041
370350103042,370350103042
370350103043,370350103043
370350104021,370350104021
370350104022,370350104022
370350104023,370350104023
370350104031,370350104031
370350104032,370350104032
370350104041,370350104041
370350104042,370350104042
370350105011,370350105011
370350105012,370350105012
370350105021,370350105021
370350105022,370350105022
370350106001,370350106001
370350106002,370350106002
370350106003,370350106003
370350106004,370350106004
370350107001,370350107001
370350107002,370350107002
370350107003,370350107003
370350109001,370350109001
370350109002,370350109002
370350110001,370350110001
370350110002,370350110002
370350111011,370350111011
370350111012,370350111012
370350111021,370350111021
370350111022,370350111022
370350111023,370350111023
370350111024,370350111024
370350112001,370350112001
370350112002,370350112002
370350112003,370350112003
370350112004,370350112004
370350113001,370350113001
370350113002,370350113002
370350113003,370350113003
370350114011,370350114011
370350114012,370350114012
370350114013,370350114013
370350114021,370350114021
370350114022,370350114022
370350114023,370350114023
370350115011,370350115011
370350115012,370350115012
370350115013,370350115013
370350115031,370350115031
370350115032,370350115032
370350115051,370350115051
370350115052,370350115052
370350115061,370350115061
370350115062,370350115062
370350116011,370350116011
370350116012,370350116012
370350116013,370350116013
370350116021,370350116021
370350116022,370350116022
370350116023,370350116023
370350116024,370350116024
370350117011,370350117011
370350117012,370350117012
370350117013,370350117013
370350117021,370350117021
370350117022,370350117022
370350117023,370350117023
370350117024,370350117024
370350117025,370350117025
370350118011,370350118011
370350118012,370350118012
370350118013,370350118013
370350118021,370350118021
370350118022,370350118022
370350118023,370350118023
370350118024,370350118024
370370201031,370370201031
370370201032,370370201032
370370201033,370370201033
370370201041,370370201041
370370201042,370370201042
370370201043,370370201043
