,NAME,Median age,Average household size,Median year structure built,Median gross rent,Median home value,Tenure by household income,Mortgage status,Owner costs as percentage of income,state,county,tract,block_group,GOID,Malepct,Femalepct,Whitepct,AfricanAmericanpct,Asianpct,Hispanicpct,TotHousingUnitspct,OccHousingUnitspct,VacHousingUnitspct,OwnerOccHousingUnitspct,RenterOccHousingUnitspct,VacUnitsForRentpct,VacUnitsForSalepct,TotHouseholdspct,MarriedCoupleHouseholdspct,SoloFemaleHouseholdpct,SoloMaleHouseholdpct,HouseholdsWithChildrenpct
3539,Johnston County,39.9,2.61,2000,895,345500,510,17.6,510,37,101,41110,3,371010411103,0.5532523230879199,0.44674767691208006,0.7212294496068621,0.1322373123659757,0.02215868477483917,0.13080771979985703,0.38313080771979985,1.0,0.0,0.9514925373134329,0.048507462686567165,,,0.38313080771979985,0.5839552238805971,0.08582089552238806,0.13059701492537312,1.0
3540,Johnston County,50.2,2.91,2002,895,391700,306,9.0,306,37,101,41111,1,371010411111,0.5774647887323944,0.4225352112676056,0.8104008667388949,0.14842903575297942,0.0,0.041170097508125676,0.4420368364030336,0.7769607843137255,0.22303921568627452,0.9652996845425867,0.03470031545741325,0.0,0.0,0.3434452871072589,0.8958990536277602,0.0,0.056782334384858045,1.0
3541,Johnston County,44.4,2.36,2008,639,355800,678,17.9,678,37,101,41111,2,371010411112,0.47200878155872666,0.5279912184412733,0.694474935967801,0.23563849249908525,0.0021953896816684962,0.08964507866813026,0.4350530552506403,0.9722455845248108,0.027754415475189236,0.5865051903114187,0.4134948096885813,0.0,0.0,0.4229784120014636,0.486159169550173,0.04498269896193772,0.09948096885813149,1.0
3542,Johnston County,32.1,2.77,2013,1861,336600,889,20.5,889,37,101,41112,1,371010411121,0.45417193426042984,0.5458280657395702,0.4222503160556258,0.3852718078381795,0.0,0.04013906447534766,0.37073324905183314,0.9744245524296675,0.02557544757033248,0.7777777777777778,0.2222222222222222,0.0,0.0,0.3612515802781289,0.5249343832020997,0.04374453193350831,0.04636920384951881,1.0
3543,Johnston County,43.9,3.12,2013,895,465700,710,16.9,710,37,101,41112,2,371010411122,0.43920908708456036,0.5607909129154396,0.8098443416070678,0.16449305847707194,0.0,0.01093815734118637,0.3458140513251998,0.927007299270073,0.072992700729927,0.931758530183727,0.06824146981627296,0.0,0.0,0.3205721497686159,0.6443569553805775,0.0,0.14304461942257218,1.0
3544,Johnston County,21.9,4.19,2003,895,284200,441,12.9,441,37,101,41113,1,371010411131,0.31006925945657965,0.6899307405434204,0.9350026638252531,0.0,0.0,0.06766116142781034,0.25146510388918486,0.9491525423728814,0.05084745762711865,0.984375,0.015625,0.0,0.0,0.23867874267448055,0.8147321428571429,0.0,0.05133928571428571,1.0
3545,Johnston County,37.4,2.57,2004,895,336800,460,17.3,460,37,101,41113,2,371010411132,0.48689771766694845,0.5131022823330516,0.8951817413355875,0.00422654268808115,0.0,0.026204564666103127,0.3888419273034658,1.0,0.0,1.0,0.0,,,0.3888419273034658,0.9326086956521739,0.0,0.05,1.0
3546,Johnston County,38.5,2.46,1989,802,137800,295,12.6,295,37,101,41203,1,371010412031,0.514018691588785,0.48598130841121495,0.7414330218068536,0.10176531671858775,0.0,0.2980269989615784,0.4371754932502596,0.9287410926365796,0.07125890736342043,0.7544757033248082,0.24552429667519182,0.0,0.0,0.40602284527518173,0.3248081841432225,0.13554987212276215,0.27365728900255754,1.0
3547,Johnston County,44.5,2.46,1989,845,194600,172,16.2,172,37,101,41203,2,371010412032,0.44785276073619634,0.5521472392638037,0.99079754601227,0.009202453987730062,0.0,0.029141104294478526,0.47392638036809814,0.8576051779935275,0.1423948220064725,0.6490566037735849,0.35094339622641507,0.0,0.0,0.40644171779141103,0.6943396226415094,0.03773584905660377,0.052830188679245285,1.0
3548,Johnston County,27.4,3.31,1979,1125,104800,149,17.0,149,37,101,41204,1,371010412041,0.5560640732265446,0.4439359267734554,0.5640732265446224,0.006864988558352402,0.0,0.5778032036613272,0.35697940503432496,0.8461538461538461,0.15384615384615385,0.5643939393939394,0.4356060606060606,0.0,0.0,0.30205949656750575,0.5606060606060606,0.10984848484848485,0.12121212121212122,1.0
3549,Johnston County,25.2,4.33,1991,1208,143000,339,18.8,339,37,101,41204,2,371010412042,0.48865726548129984,0.5113427345187002,0.4469650521152667,0.33476394849785407,0.03678724708767627,0.18393623543838136,0.2703862660944206,0.854875283446712,0.14512471655328799,0.8992042440318302,0.10079575596816977,0.0,0.0,0.23114653586756592,0.5862068965517241,0.03713527851458886,0.15915119363395225,1.0
3550,Johnston County,44.6,2.14,1983,1115,194500,344,12.7,344,37,101,41205,1,371010412051,0.48655737704918034,0.5134426229508197,0.6439344262295082,0.12131147540983607,0.007213114754098361,0.27278688524590167,0.5259016393442623,0.8615960099750624,0.13840399002493767,0.49782923299565845,0.5021707670043415,0.0,0.0,0.45311475409836066,0.41678726483357453,0.09261939218523878,0.030390738060781478,1.0
3551,Johnston County,33.8,2.76,1986,1104,267000,292,10.8,292,37,101,41205,2,371010412052,0.5138522427440633,0.4861477572559367,0.7018469656992085,0.25857519788918204,0.0,0.022427440633245383,0.4261213720316623,0.8498452012383901,0.15015479876160992,0.5318761384335154,0.4681238615664845,0.20618556701030927,0.0,0.36213720316622694,0.5974499089253188,0.1092896174863388,0.052823315118397086,1.0
3552,Johnston County,40.4,3.04,1992,945,249100,452,26.7,452,37,101,41206,1,371010412061,0.5108601216333623,0.4891398783666377,0.47002606429192006,0.0682015638575152,0.0,0.47089487402258906,0.3271068635968723,1.0,0.0,0.600265604249668,0.399734395750332,,,0.3271068635968723,0.5697211155378487,0.027888446215139442,0.05843293492695883,1.0
3553,Johnston County,40.6,2.66,1998,895,288200,551,17.9,551,37,101,41206,2,371010412062,0.45582329317269077,0.5441767068273092,0.857429718875502,0.025435073627844713,0.0,0.21619812583668005,0.4002677376171352,0.9381270903010034,0.061872909698996656,0.982174688057041,0.017825311942959002,0.0,0.0,0.3755020080321285,0.7165775401069518,0.0017825311942959,0.13725490196078433,1.0
3554,Johnston County,59.1,2.64,1986,921,191300,134,17.1,134,37,101,41301,1,371010413011,0.5379061371841155,0.4620938628158845,0.6787003610108303,0.27075812274368233,0.0,0.02707581227436823,0.4296028880866426,0.8823529411764706,0.11764705882352941,0.638095238095238,0.3619047619047619,0.0,0.0,0.37906137184115524,0.6571428571428571,0.0,0.1,1.0
3555,Johnston County,56.8,2.57,1995,895,146800,240,12.6,240,37,101,41301,2,371010413012,0.4735202492211838,0.5264797507788161,0.543613707165109,0.0,0.0,0.45638629283489096,0.49221183800623053,0.7911392405063291,0.2088607594936709,0.96,0.04,0.0,0.0,0.3894080996884735,0.576,0.0,0.252,1.0
3556,Johnston County,32.7,2.52,1982,895,207800,225,17.7,225,37,101,41301,3,371010413013,0.43286219081272087,0.5671378091872792,0.6872791519434629,0.29328621908127206,0.0,0.0,0.5371024734982333,0.7401315789473685,0.2598684210526316,1.0,0.0,0.0,0.0,0.39752650176678445,0.4222222222222222,0.0,0.23555555555555555,1.0
3557,Johnston County,46.2,2.6,1988,895,84200,402,9.0,402,37,101,41302,1,371010413021,0.4237829209896249,0.5762170790103751,0.7302474062250599,0.15083798882681565,0.0,0.0,0.39664804469273746,0.9356136820925554,0.06438631790744467,0.864516129032258,0.13548387096774195,0.0,0.0,0.37110933758978454,0.4989247311827957,0.015053763440860216,0.27956989247311825,1.0
3558,Johnston County,49.1,2.19,1985,895,160300,284,19.8,284,37,101,41302,2,371010413022,0.5804289544235925,0.4195710455764075,0.9919571045576407,0.0,0.0,0.010723860589812333,0.5576407506702413,0.8173076923076923,0.18269230769230768,0.8352941176470589,0.16470588235294117,0.0,0.0,0.45576407506702415,0.538235294117647,0.08823529411764706,0.07352941176470588,1.0
3559,Johnston County,39.6,2.55,1992,895,147100,465,14.1,465,37,101,41302,3,371010413023,0.456776352481874,0.543223647518126,0.6369213608477412,0.04071388733965421,0.0,0.2788622420524261,0.45733407696597883,0.8475609756097561,0.1524390243902439,0.6690647482014388,0.33093525179856115,0.0,0.0,0.38761851645287226,0.2992805755395683,0.010071942446043165,0.18129496402877698,1.0
3560,Johnston County,30.7,2.51,1982,954,231500,540,14.8,540,37,101,41401,1,371010414011,0.5293062200956937,0.4706937799043062,0.7834928229665071,0.12739234449760767,0.0,0.08911483253588516,0.45933014354066987,0.8684895833333334,0.13151041666666666,0.8095952023988006,0.1904047976011994,0.0,0.0,0.39892344497607657,0.5922038980509745,0.0704647676161919,0.08545727136431784,1.0
3561,Johnston County,29.1,2.36,1994,895,122400,149,14.9,149,37,101,41401,2,371010414012,0.5580046403712297,0.4419953596287703,0.9965197215777262,0.0,0.0,0.0,0.5997679814385151,0.7059961315280464,0.2940038684719536,0.40821917808219177,0.5917808219178082,0.0,0.0,0.4234338747099768,0.5232876712328767,0.0,0.34794520547945207,1.0
3562,Johnston County,36.0,1.82,1960,1294,146900,92,19.6,92,37,101,41401,3,371010414013,0.46537396121883656,0.5346260387811634,0.6537396121883656,0.3268698060941828,0.0,0.0,0.9058171745152355,0.5657492354740061,0.43425076452599387,0.4972972972972973,0.5027027027027027,0.21830985915492956,0.0,0.5124653739612188,0.2918918918918919,0.17297297297297298,0.05945945945945946,1.0
3563,Johnston County,36.1,2.76,1989,979,217700,495,16.6,495,37,101,41402,1,371010414021,0.4404481132075472,0.5595518867924528,0.5047169811320755,0.49115566037735847,0.0,0.11261792452830188,0.3944575471698113,0.9177877428998505,0.08221225710014948,0.8061889250814332,0.19381107491856678,0.0,0.0,0.36202830188679247,0.40879478827361565,0.1254071661237785,0.3957654723127036,1.0
3564,Johnston County,39.1,2.05,1971,992,228500,177,17.4,177,37,101,41402,2,371010414022,0.38114754098360654,0.6188524590163934,0.9685792349726776,0.0,0.0,0.031420765027322405,0.546448087431694,0.8925,0.1075,0.4957983193277311,0.5042016806722689,0.0,0.0,0.48770491803278687,0.43977591036414565,0.047619047619047616,0.04201680672268908,1.0
3565,Johnston County,27.8,3.69,1979,895,75800,64,36.4,64,37,101,41402,3,371010414023,0.443859649122807,0.5561403508771929,0.16578947368421051,0.26052631578947366,0.0,0.656140350877193,0.34912280701754383,0.7763819095477387,0.2236180904522613,0.20711974110032363,0.7928802588996764,0.0,0.0,0.2710526315789474,0.1779935275080906,0.0,0.40129449838187703,1.0
3566,Johnston County,49.6,2.48,1984,895,166700,216,16.3,216,37,101,41402,4,371010414024,0.4288,0.5712,1.0,0.0,0.0,0.0,0.4496,0.896797153024911,0.10320284697508897,0.8571428571428571,0.14285714285714285,0.0,0.0,0.4032,0.7063492063492064,0.0,0.027777777777777776,1.0
3567,Johnston County,52.5,2.52,1998,895,249300,381,18.4,381,37,101,41402,5,371010414025,0.44476190476190475,0.5552380952380952,0.7961904761904762,0.2038095238095238,0.0,0.0,0.3628571428571429,1.0,0.0,1.0,0.0,,,0.3628571428571429,0.7611548556430446,0.0,0.13910761154855644,1.0
3568,Johnston County,33.9,2.84,1995,895,231300,293,14.2,293,37,101,41504,1,371010415041,0.44061757719714967,0.5593824228028503,0.6389548693586699,0.05938242280285035,0.023752969121140142,0.0,0.3479809976247031,1.0,0.0,1.0,0.0,,,0.3479809976247031,0.7064846416382252,0.034129692832764506,0.11262798634812286,1.0
3569,Johnston County,46.2,2.3,2004,895,263200,365,22.8,365,37,101,41504,2,371010415042,0.6035714285714285,0.3964285714285714,0.7511904761904762,0.016666666666666666,0.0,0.2630952380952381,0.43452380952380953,1.0,0.0,1.0,0.0,,,0.43452380952380953,0.6082191780821918,0.25205479452054796,0.0,1.0
3570,Johnston County,34.0,2.88,2004,895,229400,508,22.7,508,37,101,41504,3,371010415043,0.5676392572944297,0.4323607427055703,0.5649867374005305,0.1273209549071618,0.0,0.3076923076923077,0.34681697612732093,1.0,0.0,0.97131931166348,0.028680688336520075,,,0.34681697612732093,0.5047801147227533,0.08030592734225621,0.028680688336520075,1.0
3571,Johnston County,24.6,2.32,1999,1535,215600,341,28.1,341,37,101,41504,4,371010415044,0.4253731343283582,0.5746268656716418,0.30970149253731344,0.0,0.0,0.6138059701492538,0.43097014925373134,1.0,0.0,0.7380952380952381,0.2619047619047619,,,0.43097014925373134,0.42424242424242425,0.1406926406926407,0.0,1.0
3572,Johnston County,32.2,2.7,2009,1273,305800,514,16.0,514,37,101,41505,1,371010415051,0.42778693025809994,0.5722130697419,0.9170785282811642,0.03185063152114223,0.01043382756727073,0.007688083470620538,0.371224601867106,0.9985207100591716,0.0014792899408284023,0.7614814814814815,0.23851851851851852,1.0,0.0,0.37067545304777594,0.4711111111111111,0.035555555555555556,0.19111111111111112,1.0
3573,Johnston County,35.8,2.71,2009,1072,366400,394,14.8,394,37,101,41505,2,371010415052,0.5243161094224924,0.4756838905775076,0.8495440729483282,0.09498480243161095,0.011398176291793313,0.03951367781155015,0.36930091185410335,1.0,0.0,0.8106995884773662,0.18930041152263374,,,0.36930091185410335,0.668724279835391,0.012345679012345678,0.13991769547325103,1.0
3574,Johnston County,31.3,2.1,2002,895,213600,260,18.2,260,37,101,41505,3,371010415053,0.5718799368088467,0.42812006319115326,0.7598736176935229,0.0679304897314376,0.0,0.14691943127962084,0.5213270142180095,0.8636363636363636,0.13636363636363635,0.9122807017543859,0.08771929824561403,0.0,0.0,0.45023696682464454,0.40350877192982454,0.2736842105263158,0.0,1.0
3575,Johnston County,36.6,2.28,1999,895,258800,256,22.3,256,37,101,41505,4,371010415054,0.479297365119197,0.520702634880803,0.6135508155583438,0.07277289836888332,0.0,0.23337515683814303,0.43914680050188204,1.0,0.0,0.7314285714285714,0.26857142857142857,,,0.43914680050188204,0.6,0.04,0.06857142857142857,1.0
3576,Johnston County,37.5,2.99,1997,895,328200,310,13.0,310,37,101,41506,1,371010415061,0.5804701627486437,0.41952983725135623,0.6419529837251357,0.10126582278481013,0.0,0.2179023508137432,0.3589511754068716,0.9319899244332494,0.06801007556675064,0.8378378378378378,0.16216216216216217,0.0,0.48148148148148145,0.3345388788426763,0.8162162162162162,0.04864864864864865,0.002702702702702703,1.0
3577,Johnston County,35.2,3.49,2004,1706,341300,242,13.2,242,37,101,41506,2,371010415062,0.5061475409836066,0.49385245901639346,0.7756147540983607,0.05122950819672131,0.010245901639344262,0.3155737704918033,0.29713114754098363,0.9620689655172414,0.03793103448275862,0.8673835125448028,0.13261648745519714,0.0,0.0,0.2858606557377049,0.6451612903225806,0.0,0.15770609318996415,1.0
3578,Johnston County,32.5,2.95,1999,895,340600,478,18.3,478,37,101,41507,1,371010415071,0.4884910485933504,0.5115089514066496,0.8913043478260869,0.079923273657289,0.0,0.19948849104859334,0.3388746803069054,1.0,0.0,0.9018867924528302,0.09811320754716982,,,0.3388746803069054,0.6320754716981132,0.013207547169811321,0.10377358490566038,1.0
3579,Johnston County,49.6,2.76,2006,895,320300,463,14.4,463,37,101,41507,2,371010415072,0.4924731182795699,0.5075268817204301,0.6982078853046595,0.06738351254480286,0.053763440860215055,0.23225806451612904,0.4050179211469534,0.8938053097345132,0.10619469026548672,0.9168316831683169,0.08316831683168317,0.0,0.0,0.36200716845878134,0.8396039603960396,0.0,0.07722772277227723,1.0
3580,Johnston County,28.0,4.11,2011,1388,338700,340,9.0,340,37,101,41507,3,371010415073,0.3695652173913043,0.6304347826086957,0.8206521739130435,0.028985507246376812,0.0,0.1606280193236715,0.2433574879227053,1.0,0.0,0.8436724565756824,0.15632754342431762,,,0.2433574879227053,0.7766749379652605,0.11166253101736973,0.0,1.0
3581,Johnston County,31.6,3.39,1999,895,244300,187,12.0,187,37,101,41507,4,371010415074,0.45425867507886436,0.5457413249211357,0.40536277602523657,0.2917981072555205,0.017350157728706624,0.3501577287066246,0.3501577287066246,0.8423423423423423,0.15765765765765766,1.0,0.0,0.0,0.0,0.2949526813880126,0.7754010695187166,0.0,0.0962566844919786,1.0
3582,Johnston County,40.2,3.06,2006,895,366700,172,18.1,172,37,101,41508,1,371010415081,0.4952681388012618,0.5047318611987381,0.8817034700315457,0.03627760252365931,0.04574132492113565,0.14195583596214512,0.3264984227129338,1.0,0.0,0.8309178743961353,0.16908212560386474,,,0.3264984227129338,0.6811594202898551,0.10144927536231885,0.03864734299516908,1.0
3583,Johnston County,27.1,2.71,1998,964,217700,20,15.8,20,37,101,41508,2,371010415082,0.19649122807017544,0.8035087719298246,0.43859649122807015,0.0,0.0,0.6105263157894737,0.5578947368421052,0.660377358490566,0.33962264150943394,0.19047619047619047,0.8095238095238095,0.0,0.0,0.3684210526315789,0.10476190476190476,0.13333333333333333,0.4095238095238095,1.0
3584,Johnston County,42.4,3.2,1997,895,265100,723,17.8,723,37,101,41508,3,371010415083,0.5804020100502513,0.41959798994974873,0.8848408710217756,0.013819095477386936,0.0,0.1009212730318258,0.31239530988274705,1.0,0.0,0.9691689008042895,0.030831099195710455,,,0.31239530988274705,0.7560321715817694,0.040214477211796246,0.02546916890080429,1.0
3585,Johnston County,35.3,2.65,2002,1051,233400,293,12.1,293,37,101,41509,1,371010415091,0.43133951137320975,0.5686604886267902,0.6689132266217355,0.17691659646166807,0.014321819713563605,0.13395113732097724,0.37742207245155857,1.0,0.0,0.6540178571428571,0.34598214285714285,,,0.37742207245155857,0.609375,0.0,0.033482142857142856,1.0
3586,Johnston County,41.0,2.74,2005,2628,351200,335,13.6,335,37,101,41509,2,371010415092,0.44232515894641233,0.5576748410535877,0.8119891008174387,0.0,0.08628519527702089,0.05812897366030881,0.44141689373297005,0.8271604938271605,0.1728395061728395,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3651226158038147,0.7164179104477612,0.0,0.13432835820895522,1.0
3587,Johnston County,36.9,3.11,2005,895,275400,456,20.8,456,37,101,41509,3,371010415093,0.4578544061302682,0.5421455938697318,0.7943805874840357,0.11302681992337164,0.0,0.0140485312899106,0.3486590038314176,0.9175824175824175,0.08241758241758242,0.9101796407185628,0.08982035928143713,0.0,0.0,0.31992337164750956,0.7445109780439122,0.0,0.05588822355289421,1.0
3588,Johnston County,34.9,2.68,1994,895,213500,340,14.5,340,37,101,41510,1,371010415101,0.5588235294117647,0.4411764705882353,0.8610547667342799,0.07302231237322515,0.0,0.08113590263691683,0.38640973630831643,0.952755905511811,0.047244094488188976,0.9366391184573003,0.06336088154269973,0.0,0.0,0.36815415821501013,0.6198347107438017,0.14325068870523416,0.049586776859504134,1.0
